Movie_Title,Box_Office_Start,Box_Office_End,Worldwide_Box_Office,Metascore,User_Score
Iron Man,2008-05,2008-09,"585,071,547.00",79,8.5
The Incredible Hulk,2008-06,2008-08,"265,573,859.00",61,7.2
Iron Man 2,2010-05,2010-08,"621,156,389.00",57,6.5
Thor,2011-05,2011-08,"449,326,618.00",57,7
Captain America,2011-07,2011-11,"370,569,776.00",66,7.3
Avengers,2012-05,2012-09,"1,518,812,988.00",69,8
Iron Man 3,2013-05,2013-08,"1,215,392,272.00",62,6.5
Thor Dark World,2013-11,2014-04,"644,602,516.00",54,7.1
Captain America Winter Soldier,2014-04,2014-08,"714,401,889.00",70,8.5
Guardians of the Galaxy,2014-08,2015-01,"772,772,112.00",76,8.5
Avengers Age of Ultron,2015-05,2015-10,"1,403,013,963.00",66,7
Ant Man,2015-07,2015-12,"518,858,449.00",64,8
Captain America Civil War,2016-05,2016-09,"1,153,284,349.00",75,8.3
Doctor Strange,2016-11,2017-03,"676,404,566.00",72,8.2
Guardians of the Galaxy 2,2017-05,2017-09,"869,113,101.00",67,7.7
Thor Ragnarok,2017-11,2018-03,"853,958,289.00",74,7.8
Black Panther,2018-02,2018-08,"1,346,913,161.00",88,6.4
Avengers Infinity War,2018-04,2018-09,"2,048,359,754.00",68,8.7
Ant Man and the Wasp,2018-07,2018-10,"623,144,660.00",70,7.1
Captain Marvel,2019-03,2019-06,"1,129,729,839.00",64,3.5
Avengers End Game,2019-04,2019-09,"2,797,800,564.00",78,7.8
