File,Date,Rank,Comic-book_Title,Issue,Price,Publisher,Units_Sold,Writer,Rating,Movie_Title,Box_Office_Start,Box_Office_End,Worldwide_Box_Office,Metascore,User_Score
2015-11.csv,2015-11,6,All New All Different Avengers,1,4.99,Marvel,128570,Mark Waid,6.7,Iron Man,5/2/2008,9/27/2008,"585,071,547.00",79,8.5
2015-12.csv,2015-12,23,All New All Different Avengers,2,3.99,Marvel,67154,Mark Waid,6.5,The Incredible Hulk,6/13/2008,8/29/2008,"265,573,859.00",61,7.2
2016-01.csv,2016-01,18,All New All Different Avengers,3,3.99,Marvel,57584,Mark Waid,6.7,Iron Man 2,5/7/2010,8/13/2010,"621,156,389.00",57,6.5
2016-01.csv,2016-01,19,All New All Different Avengers,4,3.99,Marvel,57114,Mark Waid,7.2,Thor,5/6/2011,8/19/2011,"449,326,618.00",57,7
2016-02.csv,2016-02,20,All New All Different Avengers,5,3.99,Marvel,51740,Mark Waid,7.7,Captain America,7/22/2011,11/4/2011,"370,569,776.00",66,7.3
2016-02.csv,2016-02,25,All New All Different Avengers,6,3.99,Marvel,48022,Mark Waid,7.2,Avengers,5/4/2012,9/28/2012,"1,518,812,988.00",69,8
2016-03.csv,2016-03,22,All New All Different Avengers,7,3.99,Marvel,52631,Mark Waid,7,Iron Man 3,5/3/2013,8/30/2013,"1,215,392,272.00",62,6.5
2016-04.csv,2016-04,30,All New All Different Avengers,8,3.99,Marvel,51925,Mark Waid,7.1,Thor Dark World,11/8/2013,4/11/2014,"644,602,516.00",54,7.1
2016-05.csv,2016-05,21,All New All Different Avengers,9,3.99,Marvel,52296,Mark Waid,7.7,Captain America Winter Soldier,4/4/2014,8/8/2014,"714,401,889.00",70,8.5
2016-06.csv,2016-06,53,All New All Different Avengers,10,3.99,Marvel,44965,Mark Waid,8.6,Guardians of the Galaxy,8/1/2014,1/9/2015,"772,772,112.00",76,8.5
2016-06.csv,2016-06,57,All New All Different Avengers,11,3.99,Marvel,42788,Mark Waid,8.1,Avengers Age of Ultron,5/1/2015,10/2/2015,"1,403,013,963.00",66,7
2016-07.csv,2016-07,57,All New All Different Avengers,12,3.99,Marvel,46313,Mark Waid,7.9,Ant Man,7/17/2015,12/11/2015,"518,858,449.00",64,8
2016-08.csv,2016-08,60,All New All Different Avengers,13,3.99,Marvel,46257,Mark Waid,7.3,Captain America Civil War,5/6/2016,9/16/2016,"1,153,284,349.00",75,8.3
2016-09.csv,2016-09,61,All New All Different Avengers,14,3.99,Marvel,45509,Mark Waid,8,Doctor Strange,11/4/2016,3/10/2017,"676,404,566.00",72,8.2
2016-10.csv,2016-10,81,All New All Different Avengers,15,3.99,Marvel,37209,Mark Waid,8,Guardians of the Galaxy 2,5/5/2017,9/15/2017,"869,113,101.00",67,7.7
1997-04.csv,1997-04,18,Avengers,8,1.95,Marvel,120937,Walt Simonson,,Thor Ragnarok,11/3/2017,3/9/2018,"853,958,289.00",74,7.8
1997-05.csv,1997-05,9,Avengers,-1,1.95,Marvel,107567,Walt Simonson,,Black Panther,2/16/2018,8/3/2018,"1,346,913,161.00",88,6.4
1997-06.csv,1997-06,7,Avengers,9,1.99,Marvel,114896,Walt Simonson,,Avengers Infinity War,4/27/2018,9/7/2018,"2,048,359,754.00",68,8.7
1997-07.csv,1997-07,8,Avengers,11,1.99,Marvel,110084,Walt Simonson,,Ant Man and the Wasp,7/9/2018,10/26/2018,"623,144,660.00",70,7.1
1997-08.csv,1997-08,7,Avengers,12,2.99,Marvel,114787,Walt Simonson,,Captain Marvel,3/8/2019,6/28/2019,"1,129,729,839.00",64,3.5
1997-09.csv,1997-09,7,Avengers,13,1.99,Marvel,109464,Walt Simonson,,Avengers End Game,4/26/2019,9/6/2019,"2,797,800,564.00",78,7.8
1997-12.csv,1997-12,2,Avengers,1,2.99,Marvel,194439,Kurt Busiek,,,,,,,
1998-01.csv,1998-01,3,Avengers,2,1.99,Marvel,138884,Kurt Busiek,,,,,,,
1998-02.csv,1998-02,4,Avengers,3,1.99,Marvel,111036,Kurt Busiek,,,,,,,
1998-03.csv,1998-03,4,Avengers,4,1.99,Marvel,112318,Kurt Busiek,,,,,,,
1998-04.csv,1998-04,5,Avengers,5,1.99,Marvel,116641,Kurt Busiek,,,,,,,
1998-05.csv,1998-05,5,Avengers,6,1.99,Marvel,112322,Kurt Busiek,,,,,,,
1998-06.csv,1998-06,5,Avengers,7,1.99,Marvel,114806,Kurt Busiek,,,,,,,
1998-07.csv,1998-07,6,Avengers,8,1.99,Marvel,108860,Kurt Busiek,,,,,,,
1998-08.csv,1998-08,6,Avengers,9,1.99,Marvel,105836,Kurt Busiek,,,,,,,
1998-09.csv,1998-09,6,Avengers,10,1.99,Marvel,104389,Kurt Busiek,,,,,,,
1998-10.csv,1998-10,7,Avengers,11,1.99,Marvel,102300,Kurt Busiek,,,,,,,
1998-11.csv,1998-11,9,Avengers,12,2.99,Marvel,100068,Kurt Busiek,,,,,,,
1998-12.csv,1998-12,13,Avengers,13,1.99,Marvel,94752,Kurt Busiek,,,,,,,
1999-01.csv,1999-01,6,Avengers,14,1.99,Marvel,93836,Kurt Busiek,,,,,,,
1999-02.csv,1999-02,7,Avengers,15,1.99,Marvel,90048,Kurt Busiek,,,,,,,
1999-03.csv,1999-03,5,Avengers,16,1.99,Marvel,93266,Jerry Ordway,,,,,,,
1999-04.csv,1999-04,5,Avengers,17,1.99,Marvel,89105,Jerry Ordway,,,,,,,
1999-05.csv,1999-05,6,Avengers,18,1.99,Marvel,85864,Kurt Busiek,,,,,,,
1999-06.csv,1999-06,5,Avengers,19,1.99,Marvel,87811,Kurt Busiek,,,,,,,
1999-07.csv,1999-07,6,Avengers,20,1.99,Marvel,85830,Kurt Busiek,,,,,,,
1999-08.csv,1999-08,6,Avengers,21,1.99,Marvel,82870,Kurt Busiek,,,,,,,
1999-09.csv,1999-09,5,Avengers,22,1.99,Marvel,81082,Kurt Busiek,,,,,,,
1999-10.csv,1999-10,7,Avengers,23,1.99,Marvel,82153,Kurt Busiek,,,,,,,
1999-11.csv,1999-11,6,Avengers,24,1.99,Marvel,79877,Kurt Busiek,,,,,,,
1999-12.csv,1999-12,4,Avengers,25,2.99,Marvel,85867,Kurt Busiek,,,,,,,
2000-01.csv,2000-01,5,Avengers,26,1.99,Marvel,76535,Kurt Busiek,,,,,,,
2000-02.csv,2000-02,5,Avengers,27,2.99,Marvel,75576,Kurt Busiek,,,,,,,
2000-03.csv,2000-03,6,Avengers,28,1.99,Marvel,76125,Kurt Busiek,,,,,,,
2000-04.csv,2000-04,5,Avengers,29,2.25,Marvel,75010,Kurt Busiek,,,,,,,
2000-05.csv,2000-05,5,Avengers,30,2.25,Marvel,74731,Kurt Busiek,,,,,,,
2000-06.csv,2000-06,6,Avengers,31,2.25,Marvel,75348,Kurt Busiek,,,,,,,
2000-07.csv,2000-07,6,Avengers,32,2.25,Marvel,74160,Kurt Busiek,,,,,,,
2000-08.csv,2000-08,7,Avengers,33,2.25,Marvel,69789,Kurt Busiek,,,,,,,
2000-09.csv,2000-09,5,Avengers,34,2.99,Marvel,70404,Kurt Busiek,,,,,,,
2000-10.csv,2000-10,5,Avengers,35,2.25,Marvel,69498,Kurt Busiek,,,,,,,
2000-11.csv,2000-11,7,Avengers,36,2.25,Marvel,67575,Kurt Busiek,,,,,,,
2000-12.csv,2000-12,6,Avengers,37,2.25,Marvel,66367,Kurt Busiek,,,,,,,
2001-01.csv,2001-01,5,Avengers,38,1.99,Marvel,67599,Kurt Busiek,,,,,,,
2001-02.csv,2001-02,9,Avengers,39,1.99,Marvel,65558,Kurt Busiek,,,,,,,
2001-03.csv,2001-03,11,Avengers,40,2.25,Marvel,64853,Kurt Busiek,,,,,,,
2001-04.csv,2001-04,10,Avengers,41,2.25,Marvel,67719,Kurt Busiek,,,,,,,
2001-05.csv,2001-05,11,Avengers,42,2.25,Marvel,67742,Kurt Busiek,,,,,,,
2001-06.csv,2001-06,12,Avengers,43,2.25,Marvel,69128,Kurt Busiek,,,,,,,
2001-07.csv,2001-07,13,Avengers,44,2.25,Marvel,70670,Kurt Busiek,,,,,,,
2001-08.csv,2001-08,13,Avengers,45,2.25,Marvel,70011,Kurt Busiek,,,,,,,
2001-09.csv,2001-09,14,Avengers,46,2.25,Marvel,65398,Kurt Busiek,,,,,,,
2001-10.csv,2001-10,14,Avengers,47,2.25,Marvel,63060,Kurt Busiek,,,,,,,
2001-11.csv,2001-11,15,Avengers,48,3.5,Marvel,63346,Kurt Busiek,,,,,,,
2001-12.csv,2001-12,15,Avengers,49,2.25,Marvel,62031,Kurt Busiek,,,,,,,
2002-01.csv,2002-01,15,Avengers,50,3.5,Marvel,60119,Kurt Busiek,,,,,,,
2002-02.csv,2002-02,14,Avengers,51,2.25,Marvel,58432,Kurt Busiek,,,,,,,
2002-03.csv,2002-03,12,Avengers,52,2.25,Marvel,57220,Kurt Busiek,,,,,,,
2002-04.csv,2002-04,14,Avengers,53,2.25,Marvel,57869,Kurt Busiek,,,,,,,
2002-05.csv,2002-05,17,Avengers,54,2.25,Marvel,56732,Kurt Busiek,,,,,,,
2002-06.csv,2002-06,20,Avengers,55,2.25,Marvel,55225,Kurt Busiek,,,,,,,
2002-07.csv,2002-07,22,Avengers,56,2.25,Marvel,55471,Kurt Busiek,,,,,,,
2002-08.csv,2002-08,25,Avengers,57,2.25,Marvel,59706,Geoff Johns,,,,,,,
2002-09.csv,2002-09,25,Avengers,58,2.25,Marvel,58438,Geoff Johns,,,,,,,
2002-10.csv,2002-10,23,Avengers,59,2.25,Marvel,57522,Geoff Johns,,,,,,,
2002-11.csv,2002-11,26,Avengers,60,3.5,Marvel,58507,Geoff Johns,,,,,,,
2002-12.csv,2002-12,21,Avengers,61,2.25,Marvel,59547,Geoff Johns,,,,,,,
2002-12.csv,2002-12,22,Avengers,62,2.25,Marvel,59159,Geoff Johns,,,,,,,
2003-01.csv,2003-01,18,Avengers,63,2.25,Marvel,59759,Geoff Johns,,,,,,,
2003-02.csv,2003-02,16,Avengers,64,2.25,Marvel,58320,Geoff Johns,,,,,,,
2003-03.csv,2003-03,15,Avengers,65,2.25,Marvel,58449,Geoff Johns,,,,,,,
2003-04.csv,2003-04,16,Avengers,66,2.25,Marvel,58474,Geoff Johns,,,,,,,
2003-05.csv,2003-05,17,Avengers,67,2.25,Marvel,57713,Geoff Johns,,,,,,,
2003-06.csv,2003-06,16,Avengers,68,2.25,Marvel,57690,Geoff Johns,,,,,,,
2003-08.csv,2003-08,22,Avengers,69,2.25,Marvel,58603,Geoff Johns,,,,,,,
2003-10.csv,2003-10,29,Avengers,70,2.25,Marvel,58882,Geoff Johns,,,,,,,
2003-10.csv,2003-10,31,Avengers,72,2.25,Marvel,58441,Geoff Johns,,,,,,,
