File,Date,Rank,Comic-book_Title,Issue,Price,Publisher,Units_Sold,Writer,Rating,Movie_Playing
1997-04.csv,1997-04,46,Batman,543,1.95,DC,59706,Doug Moench,,0
1997-04.csv,1997-04,48,Detective Comics,710,1.95,DC,55389,Chuck Dixon,,0
1997-05.csv,1997-05,31,Batman,544,1.95,DC,58451,Doug Moench,,0
1997-06.csv,1997-06,33,Batman,545,1.95,DC,57641,Doug Moench,,1
1997-06.csv,1997-06,35,Detective Comics,712,1.95,DC,53416,Chuck Dixon,,1
1997-07.csv,1997-07,38,Batman,546,1.95,DC,56074,Doug Moench,,1
1997-07.csv,1997-07,44,Detective Comics,713,1.95,DC,51212,Chuck Dixon,,1
1997-08.csv,1997-08,40,Batman,547,1.95,DC,58652,Doug Moench,,1
1997-08.csv,1997-08,45,Detective Comics,714,1.95,DC,51432,Chuck Dixon,,1
1997-09.csv,1997-09,37,Batman,548,1.95,DC,55897,Doug Moench,,1
1997-09.csv,1997-09,44,Detective Comics,715,1.95,DC,50352,Chuck Dixon,,1
1997-10.csv,1997-10,38,Batman,549,1.95,DC,56273,Doug Moench,,0
1997-10.csv,1997-10,49,Detective Comics,716,1.95,DC,49959,Chuck Dixon,,0
1997-11.csv,1997-11,42,Detective Comics,717,1.95,DC,48326,Chuck Dixon,,0
1997-12.csv,1997-12,39,Batman,551,1.95,DC,52638,Doug Moench,,0
1997-12.csv,1997-12,47,Detective Comics,718,1.95,DC,47374,Chuck Dixon,,0
1998-01.csv,1998-01,33,Batman,552,1.95,DC,51098,Doug Moench,,0
1998-01.csv,1998-01,41,Detective Comics,719,1.95,DC,46121,Chuck Dixon,,0
1998-02.csv,1998-02,32,Batman,553,1.95,DC,52867,Doug Moench,,0
1998-02.csv,1998-02,37,Detective Comics,720,1.95,DC,49045,Chuck Dixon,,0
1998-03.csv,1998-03,34,Batman,554,1.95,DC,53138,Doug Moench,,0
1998-03.csv,1998-03,39,Detective Comics,721,1.95,DC,49158,Chuck Dixon,,0
1998-04.csv,1998-04,38,Batman,555,1.95,DC,52090,Doug Moench,,0
1998-04.csv,1998-04,42,Detective Comics,722,1.95,DC,48579,Chuck Dixon,,0
1998-05.csv,1998-05,39,Batman,556,1.95,DC,50191,Doug Moench,,0
1998-05.csv,1998-05,43,Detective Comics,723,1.95,DC,48530,Chuck Dixon,,0
