File,Date,Rank,Comic-book_Title,Issue,Price,Publisher,Units_Sold,Writer,Rating,Movie_Playing
1997-04.csv,1997-04,24,JLA,6,1.95,DC,98818,Grant Morrison,,0
1997-05.csv,1997-05,11,JLA,7,1.95,DC,103498,Grant Morrison,,0
1997-06.csv,1997-06,11,JLA,8,1.95,DC,104030,Grant Morrison,,0
1997-07.csv,1997-07,9,JLA,10,1.95,DC,104947,Grant Morrison,,0
1997-07.csv,1997-07,10,JLA,9,1.95,DC,104403,Grant Morrison,,0
1997-08.csv,1997-08,10,JLA,11,1.95,DC,104676,Grant Morrison,,0
1997-09.csv,1997-09,9,JLA,12,1.95,DC,107015,Grant Morrison,,0
1997-10.csv,1997-10,10,JLA,13,1.95,DC,111218,Grant Morrison,,0
1997-11.csv,1997-11,7,JLA,14,1.95,DC,111425,Grant Morrison,,0
1997-12.csv,1997-12,10,JLA,15,2.95,DC,109108,Grant Morrison,,0
1998-01.csv,1998-01,8,JLA,16,1.95,DC,108920,Grant Morrison,,0
1998-02.csv,1998-02,7,JLA,17,1.95,DC,101430,Grant Morrison,,0
1998-03.csv,1998-03,8,JLA,18,1.95,DC,101547,Mark Waid,,0
1998-04.csv,1998-04,8,JLA,19,1.95,DC,104212,Mark Waid,,0
1998-05.csv,1998-05,8,JLA,20,1.95,DC,99895,Mark Waid,,0
1998-06.csv,1998-06,9,JLA,21,1.95,DC,99983,Mark Waid,,0
1998-07.csv,1998-07,8,JLA,22,1.95,DC,97296,Grant Morrison,,0
1998-08.csv,1998-08,8,JLA,23,1.99,DC,95256,Grant Morrison,,0
1998-09.csv,1998-09,9,JLA,1000000,1.99,DC,100278,Grant Morrison,,0
1998-10.csv,1998-10,11,JLA,24,1.99,DC,93196,Grant Morrison,,0
1998-11.csv,1998-11,10,JLA,25,1.99,DC,92178,Grant Morrison,,0
1998-12.csv,1998-12,14,JLA,26,1.99,DC,89255,Grant Morrison,,0
1999-01.csv,1999-01,9,JLA,27,1.99,DC,89882,Mark Millar,,0
1999-02.csv,1999-02,9,JLA,28,1.99,DC,85615,Grant Morrison,,0
1999-03.csv,1999-03,8,JLA,29,1.99,DC,85998,Grant Morrison,,0
1999-04.csv,1999-04,7,JLA,30,1.99,DC,87952,Grant Morrison,,0
1999-05.csv,1999-05,5,JLA,31,1.99,DC,86457,Grant Morrison,,0
1999-06.csv,1999-06,7,JLA,32,1.99,DC,86865,Mark Waid,,0
1999-07.csv,1999-07,7,JLA,33,1.99,DC,85561,Mark Waid,,0
1999-08.csv,1999-08,5,JLA,34,1.99,DC,84008,Grant Morrison,,0
1999-09.csv,1999-09,3,JLA,35,1.99,DC,83389,J.M. DeMatteis,,0
1999-10.csv,1999-10,5,JLA,36,1.99,DC,83630,Grant Morrison,,0
1999-11.csv,1999-11,5,JLA,37,1.99,DC,80044,Grant Morrison,,0
1999-12.csv,1999-12,6,JLA,38,1.99,DC,84172,Grant Morrison,,0
2000-01.csv,2000-01,4,JLA,39,1.99,DC,78273,Grant Morrison,,0
2000-02.csv,2000-02,6,JLA,40,1.99,DC,75212,Grant Morrison,,0
2000-03.csv,2000-03,4,JLA,41,2.99,DC,77145,Grant Morrison,,0
2000-04.csv,2000-04,6,JLA,42,1.99,DC,73654,Dan Curtis Johnson,,0
2000-05.csv,2000-05,4,JLA,43,1.99,DC,76923,Mark Waid,,0
2000-06.csv,2000-06,5,JLA,44,2.25,DC,76836,Mark Waid,,0
2000-07.csv,2000-07,5,JLA,45,2.25,DC,75397,Mark Waid,,0
2000-08.csv,2000-08,6,JLA,46,2.25,DC,72049,Mark Waid,,0
2000-09.csv,2000-09,4,JLA,47,2.25,DC,76632,Mark Waid,,0
2000-10.csv,2000-10,4,JLA,48,2.25,DC,74338,Mark Waid,,0
2000-11.csv,2000-11,5,JLA,49,2.25,DC,74274,Mark Waid,,0
2000-12.csv,2000-12,4,JLA,50,3.75,DC,77397,Mark Waid,,0
2001-02.csv,2001-02,8,JLA,51,2.25,DC,72825,Mark Waid,,0
2001-03.csv,2001-03,7,JLA,52,2.25,DC,72376,Mark Waid,,0
2001-04.csv,2001-04,6,JLA,53,2.25,DC,74294,Mark Waid,,0
2001-05.csv,2001-05,7,JLA,54,2.25,DC,74229,Mark Waid,,0
2001-06.csv,2001-06,9,JLA,55,2.25,DC,75548,Mark Waid,,0
2001-07.csv,2001-07,12,JLA,56,2.25,DC,78649,Mark Waid,,0
2001-08.csv,2001-08,11,JLA,57,2.25,DC,78970,Mark Waid,,0
2001-09.csv,2001-09,10,JLA,58,2.25,DC,74309,Mark Waid,,0
2001-10.csv,2001-10,11,JLA,59,2.25,DC,72688,Scott Beatty,,0
2001-11.csv,2001-11,12,JLA,60,2.25,DC,71179,Mark Waid,,0
2001-12.csv,2001-12,12,JLA,61,2.25,DC,72537,Joe Kelly,,0
2002-01.csv,2002-01,14,JLA,62,2.25,DC,67993,Joe Kelly,,0
2002-02.csv,2002-02,12,JLA,63,2.25,DC,65674,Joe Kelly,,0
2002-03.csv,2002-03,11,JLA,64,2.25,DC,66486,Joe Kelly,,0
2002-04.csv,2002-04,13,JLA,65,2.25,DC,66577,Joe Kelly,,0
2002-05.csv,2002-05,15,JLA,66,2.25,DC,65001,Joe Kelly,,0
2002-06.csv,2002-06,17,JLA,67,2.25,DC,64007,Joe Kelly,,0
2002-07.csv,2002-07,19,JLA,68,2.25,DC,64230,Joe Kelly,,0
2002-08.csv,2002-08,20,JLA,69,2.25,DC,66801,Joe Kelly,,0
2002-08.csv,2002-08,23,JLA,70,2.25,DC,65710,Joe Kelly,,0
2002-09.csv,2002-09,18,JLA,72,2.25,DC,64854,Joe Kelly,,0
2002-09.csv,2002-09,20,JLA,71,2.25,DC,64673,Joe Kelly,,0
2002-10.csv,2002-10,18,JLA,73,2.25,DC,64561,Joe Kelly,,0
2002-10.csv,2002-10,19,JLA,74,2.25,DC,64343,Joe Kelly,,0
2002-11.csv,2002-11,17,JLA,75,3.95,DC,67984,Joe Kelly,,0
2002-12.csv,2002-12,17,JLA,76,2.25,DC,66038,Joe Kelly,,0
2003-01.csv,2003-01,16,JLA,77,2.25,DC,65103,Joe Kelly,,0
2003-02.csv,2003-02,14,JLA,78,2.25,DC,65066,Joe Kelly,,0
2003-03.csv,2003-03,11,JLA,79,2.25,DC,60854,Joe Kelly,,0
2003-04.csv,2003-04,14,JLA,80,2.25,DC,60332,Joe Kelly,,0
2003-05.csv,2003-05,16,JLA,81,2.25,DC,59918,Joe Kelly,,0
2003-06.csv,2003-06,15,JLA,82,2.25,DC,58584,Joe Kelly,,0
2003-07.csv,2003-07,21,JLA,83,2.25,DC,58910,Joe Kelly,,0
2003-08.csv,2003-08,20,JLA,84,2.25,DC,59899,Joe Kelly,,0
2003-08.csv,2003-08,21,JLA,85,2.25,DC,59139,Joe Kelly,,0
2003-09.csv,2003-09,21,JLA,86,2.25,DC,59839,Joe Kelly,,0
2003-09.csv,2003-09,22,JLA,87,2.25,DC,59016,Joe Kelly,,0
2003-10.csv,2003-10,26,JLA,88,2.25,DC,59453,Joe Kelly,,0
2003-10.csv,2003-10,28,JLA,89,2.25,DC,59012,Joe Kelly,,0
2003-11.csv,2003-11,18,JLA,90,2.25,DC,59989,Joe Kelly,,0
2003-12.csv,2003-12,21,JLA,91,2.25,DC,58966,Dennis O'Neil,,0
2004-01.csv,2004-01,17,JLA,92,2.25,DC,58024,Dennis O'Neil,,0
2004-02.csv,2004-02,18,JLA,93,2.25,DC,57445,Dennis O'Neil,,0
2004-03.csv,2004-03,14,JLA,94,2.25,DC,76134,Chris Claremont,,0
2004-03.csv,2004-03,15,JLA,95,2.25,DC,69898,Chris Claremont,,0
2004-04.csv,2004-04,18,JLA,96,2.25,DC,70380,Chris Claremont,,0
2004-04.csv,2004-04,21,JLA,97,2.25,DC,68174,Chris Claremont,,0
2004-05.csv,2004-05,17,JLA,98,2.25,DC,69932,Chris Claremont,,0
2004-05.csv,2004-05,18,JLA,99,2.25,DC,69025,Chris Claremont,,0
2004-06.csv,2004-06,17,JLA,100,3.5,DC,75436,Joe Kelly,,0
2004-07.csv,2004-07,16,JLA,101,2.25,DC,64619,Chuck Austen,,0
2004-07.csv,2004-07,17,JLA,102,2.25,DC,63252,Chuck Austen,,0
2004-08.csv,2004-08,21,JLA,103,2.25,DC,61720,Chuck Austen,,0
2004-08.csv,2004-08,22,JLA,104,2.25,DC,60751,Chuck Austen,,0
2004-09.csv,2004-09,23,JLA,105,2.25,DC,60832,Chuck Austen,,0
2004-09.csv,2004-09,25,JLA,106,2.25,DC,59835,Chuck Austen,,0
2004-10.csv,2004-10,18,JLA,107,2.25,DC,65163,Kurt Busiek,,0
2004-11.csv,2004-11,24,JLA,108,2.25,DC,63352,Kurt Busiek,,0
2004-12.csv,2004-12,20,JLA,109,2.25,DC,63793,Kurt Busiek,,0
2005-01.csv,2005-01,15,JLA,110,2.25,DC,63966,Kurt Busiek,,0
2005-02.csv,2005-02,19,JLA,111,2.25,DC,64569,Kurt Busiek,,0
2005-03.csv,2005-03,27,JLA,112,2.25,DC,64709,Kurt Busiek,,0
2005-04.csv,2005-04,22,JLA,113,2.25,DC,63991,Kurt Busiek,,0
2005-05.csv,2005-05,23,JLA,114,2.25,DC,63923,Kurt Busiek,,0
2005-06.csv,2005-06,6,JLA,115,2.5,DC,95358,Geoff Johns,,0
2005-07.csv,2005-07,12,JLA,116,2.5,DC,87655,Geoff Johns,,0
2005-08.csv,2005-08,10,JLA,117,2.5,DC,87988,Geoff Johns,,0
2005-09.csv,2005-09,9,JLA,119,2.5,DC,94063,Geoff Johns,,0
2005-09.csv,2005-09,11,JLA,118,2.5,DC,89419,Geoff Johns,,0
2005-10.csv,2005-10,8,JLA,120,2.5,DC,82840,Bob Harras,,0
2005-10.csv,2005-10,10,JLA,121,2.5,DC,78819,Bob Harras,,0
2005-11.csv,2005-11,11,JLA,122,2.5,DC,80865,Bob Harras,,0
2005-12.csv,2005-12,13,JLA,123,2.5,DC,76900,Bob Harras,,0
2006-01.csv,2006-01,11,JLA,124,2.5,DC,74044,Bob Harras,,0
2006-02.csv,2006-02,15,JLA,125,2.5,DC,74313,Bob Harras,,0
2006-07.csv,2006-07,2,Justice League of America,0,2.99,DC,162357,Brad Meltzer,,0
2006-08.csv,2006-08,1,Justice League of America,1,3.99,DC,212178,Brad Meltzer,,0
2006-09.csv,2006-09,2,Justice League of America,2,2.99,DC,143398,Brad Meltzer,,0
2006-11.csv,2006-11,2,Justice League of America,3,2.99,DC,140929,Brad Meltzer,,0
2006-12.csv,2006-12,1,Justice League of America,4,2.99,DC,136698,Brad Meltzer,,0
2006-12.csv,2006-12,2,Justice League of America,5,2.99,DC,132450,Brad Meltzer,,0
2007-03.csv,2007-03,6,Justice League of America,6,3.5,DC,130092,Brad Meltzer,,0
2007-04.csv,2007-04,2,Justice League of America,7,3.5,DC,154826,Brad Meltzer,,0
2007-04.csv,2007-04,5,Justice League of America,8,2.99,DC,130232,Brad Meltzer,,0
2007-05.csv,2007-05,3,Justice League of America,9,2.99,DC,129243,Brad Meltzer,,0
2007-06.csv,2007-06,6,Justice League of America,10,2.99,DC,129185,Brad Meltzer,,0
2007-07.csv,2007-07,7,Justice League of America,11,2.99,DC,122780,Brad Meltzer,,0
2007-08.csv,2007-08,2,Justice League of America,12,3.5,DC,131412,Brad Meltzer,,0
2007-09.csv,2007-09,3,Justice League of America,13,2.99,DC,119435,Dwayne McDuffie,,0
2007-10.csv,2007-10,3,Justice League of America,14,2.99,DC,101656,Dwayne McDuffie,,0
2007-12.csv,2007-12,6,Justice League of America,15,2.99,DC,100174,Dwayne McDuffie,,0
2007-12.csv,2007-12,8,Justice League of America,16,2.99,DC,95500,Dwayne McDuffie,,0
2008-01.csv,2008-01,11,Justice League of America,17,2.99,DC,94636,Alan Burnett,,0
2008-02.csv,2008-02,11,Justice League of America,18,2.99,DC,89746,Alan Burnett,,0
2008-03.csv,2008-03,7,Justice League of America,19,2.99,DC,87456,Alan Burnett,,0
2008-04.csv,2008-04,9,Justice League of America,20,2.99,DC,85789,Dwayne McDuffie,,0
2008-05.csv,2008-05,11,Justice League of America,21,2.99,DC,90009,Dwayne McDuffie,,0
2008-06.csv,2008-06,9,Justice League of America,22,2.99,DC,84981,Dwayne McDuffie,,0
2008-07.csv,2008-07,9,Justice League of America,23,2.99,DC,82936,Dwayne McDuffie,,0
2008-08.csv,2008-08,12,Justice League of America,24,2.99,DC,81408,Dwayne McDuffie,,0
2008-10.csv,2008-10,10,Justice League of America,25,3.99,DC,80721,Dwayne McDuffie,,0
2008-10.csv,2008-10,12,Justice League of America,26,2.99,DC,77343,Dwayne McDuffie,,0
2008-12.csv,2008-12,14,Justice League of America,27,2.99,DC,75793,Dwayne McDuffie,,0
2008-12.csv,2008-12,16,Justice League of America,28,2.99,DC,72718,Dwayne McDuffie,,0
2009-01.csv,2009-01,9,Justice League of America,29,2.99,DC,72095,Len Wein,,0
2009-02.csv,2009-02,10,Justice League of America,30,2.99,DC,69698,Dwayne McDuffie,,0
2009-03.csv,2009-03,8,Justice League of America,31,2.99,DC,68749,Dwayne McDuffie,,0
2009-04.csv,2009-04,18,Justice League of America,32,2.99,DC,66016,Dwayne McDuffie,,0
2009-05.csv,2009-05,11,Justice League of America,33,2.99,DC,63867,Dwayne McDuffie,,0
2009-06.csv,2009-06,25,Justice League of America,34,2.99,DC,61091,Dwayne McDuffie,,0
2009-07.csv,2009-07,26,Justice League of America,35,2.99,DC,58876,Len Wein,,0
