File,Date,Rank,Comic-book_Title,Issue,Price,Publisher,Units_Sold,Writer,Rating,Movie_Playing
1997-04.csv,1997-04,1,Uncanny X-Men,345,1.95,Marvel,179378,Scott Lobdell,,0
1997-04.csv,1997-04,2,X-Men,65,1.95,Marvel,177828,Scott Lobdell,,0
1997-05.csv,1997-05,2,Uncanny X-Men,-1,1.95,Marvel,162890,Scott Lobdell,,0
1997-05.csv,1997-05,3,X-Men,-1,1.95,Marvel,160365,Scott Lobdell,,0
1997-06.csv,1997-06,1,Uncanny X-Men,346,1.99,Marvel,173453,Scott Lobdell,,0
1997-06.csv,1997-06,2,X-Men,66,1.99,Marvel,169677,Scott Lobdell,,0
1997-07.csv,1997-07,1,Uncanny X-Men,347,1.99,Marvel,165832,Scott Lobdell,,0
1997-07.csv,1997-07,2,X-Men,67,1.99,Marvel,162451,Scott Lobdell,,0
1997-08.csv,1997-08,2,Uncanny X-Men,348,1.99,Marvel,163028,Scott Lobdell,,0
1997-08.csv,1997-08,3,X-Men,68,1.99,Marvel,160043,Scott Lobdell,,0
1997-09.csv,1997-09,1,Uncanny X-Men,349,1.99,Marvel,163170,Scott Lobdell,,0
1997-09.csv,1997-09,2,X-Men,69,1.99,Marvel,162600,Scott Lobdell,,0
1997-10.csv,1997-10,1,Uncanny X-Men,350,1.99,Marvel,171453,Scott Lobdell,,0
1997-10.csv,1997-10,2,X-Men,70,2.99,Marvel,166928,Joe Kelly,,0
1997-11.csv,1997-11,3,Uncanny X-Men,351,1.99,Marvel,159778,Steven T. Seagle,,0
1997-11.csv,1997-11,5,X-Men,71,1.99,Marvel,155400,Joe Kelly,,0
1997-12.csv,1997-12,5,Uncanny X-Men,352,1.99,Marvel,156519,Steven T. Seagle,,0
1997-12.csv,1997-12,6,X-Men,72,1.99,Marvel,151534,Joe Kelly,,0
1998-01.csv,1998-01,1,Uncanny X-Men,353,1.99,Marvel,154418,Steven T. Seagle,,0
1998-01.csv,1998-01,2,X-Men,73,1.99,Marvel,148639,Joe Kelly,,0
